# ./sample_venc 0
READ_REG A= 0x3201, D= 0x0 
READ_REG A= 0x3202, D= 0x0 
READ_REG A= 0x3203, D= 0x0 
READ_REG A= 0x3204, D= 0x5A 
READ_REG A= 0x3205, D= 0xE0 
READ_REG A= 0x3206, D= 0x15 
READ_REG A= 0x3207, D= 0x0 
READ_REG A= 0x3208, D= 0x56 
READ_REG A= 0x3209, D= 0xF0 
READ_REG A= 0x320A, D= 0x23 
READ_REG A= 0x320B, D= 0x0 
READ_REG A= 0x320C, D= 0xFF 
READ_REG A= 0x320D, D= 0xF 
READ_REG A= 0x320E, D= 0x0 
READ_REG A= 0x320F, D= 0x0 
READ_REG A= 0x3210, D= 0xFF 
READ_REG A= 0x3211, D= 0xF 
READ_REG A= 0x3212, D= 0x0 
READ_REG A= 0x3213, D= 0x0 
READ_REG A= 0x3214, D= 0x0 
READ_REG A= 0x3215, D= 0xF0 
READ_REG A= 0x3216, D= 0xFF 
READ_REG A= 0x3217, D= 0x0 
READ_REG A= 0x3218, D= 0x0 
READ_REG A= 0x3219, D= 0x0 
READ_REG A= 0x321A, D= 0x0 
READ_REG A= 0x321B, D= 0x0 
READ_REG A= 0x321C, D= 0x0 
READ_REG A= 0x321D, D= 0x0 
READ_REG A= 0x321E, D= 0x0 
READ_REG A= 0x321F, D= 0x0 
READ_REG A= 0x3220, D= 0x1 
READ_REG A= 0x3221, D= 0x50 
READ_REG A= 0x3222, D= 0x8 
READ_REG A= 0x3223, D= 0x41 
READ_REG A= 0x3224, D= 0x1 
READ_REG A= 0x3225, D= 0x30 
READ_REG A= 0x3226, D= 0x0 
READ_REG A= 0x3227, D= 0x0 
READ_REG A= 0x3228, D= 0x6 
READ_REG A= 0x3229, D= 0x81 
READ_REG A= 0x322A, D= 0x10 
READ_REG A= 0x322B, D= 0x0 
READ_REG A= 0x322C, D= 0x42 
READ_REG A= 0x322D, D= 0x31 
READ_REG A= 0x322E, D= 0x0 
READ_REG A= 0x322F, D= 0x0 
READ_REG A= 0x3230, D= 0x6 
READ_REG A= 0x3231, D= 0xD0 
READ_REG A= 0x3232, D= 0x1 
READ_REG A= 0x3233, D= 0x0 
READ_REG A= 0x3234, D= 0x6 
READ_REG A= 0x3235, D= 0x60 
READ_REG A= 0x3236, D= 0x1A 
READ_REG A= 0x3237, D= 0x0 
READ_REG A= 0x3238, D= 0xD7 
READ_REG A= 0x3239, D= 0x50 
READ_REG A= 0x323A, D= 0x10 
READ_REG A= 0x323B, D= 0x0 
READ_REG A= 0x323C, D= 0xD9 
READ_REG A= 0x323D, D= 0xE0 
READ_REG A= 0x323E, D= 0xF 
READ_REG A= 0x323F, D= 0x0 
READ_REG A= 0x3240, D= 0xD9 
READ_REG A= 0x3241, D= 0xE0 
READ_REG A= 0x3242, D= 0xF 
READ_REG A= 0x3243, D= 0x0 
READ_REG A= 0x3244, D= 0xDA 
READ_REG A= 0x3245, D= 0x80 
READ_REG A= 0x3246, D= 0xF 
READ_REG A= 0x3247, D= 0x0 
READ_REG A= 0x3248, D= 0xF9 
READ_REG A= 0x3249, D= 0xD0 
READ_REG A= 0x324A, D= 0xF 
READ_REG A= 0x324B, D= 0x0 
READ_REG A= 0x324C, D= 0x7 
READ_REG A= 0x324D, D= 0x40 
READ_REG A= 0x324E, D= 0x1A 
READ_REG A= 0x324F, D= 0x0 
READ_REG A= 0x3250, D= 0x7 
READ_REG A= 0x3251, D= 0xD0 
READ_REG A= 0x3252, D= 0x1 
READ_REG A= 0x3253, D= 0x0 
READ_REG A= 0x3254, D= 0xFF 
READ_REG A= 0x3255, D= 0xF3 
READ_REG A= 0x3256, D= 0x3F 
READ_REG A= 0x3257, D= 0x0 
READ_REG A= 0x3258, D= 0xD8 
READ_REG A= 0x3259, D= 0x40 
READ_REG A= 0x325A, D= 0x10 
READ_REG A= 0x325B, D= 0x0 
READ_REG A= 0x325C, D= 0xD9 
READ_REG A= 0x325D, D= 0xE0 
READ_REG A= 0x325E, D= 0xF 
READ_REG A= 0x325F, D= 0x0 
READ_REG A= 0x3260, D= 0xFF 
READ_REG A= 0x3261, D= 0xF3 
READ_REG A= 0x3262, D= 0x3F 
READ_REG A= 0x3263, D= 0x0 
READ_REG A= 0x3264, D= 0x8 
READ_REG A= 0x3265, D= 0xE0 
READ_REG A= 0x3266, D= 0x19 
READ_REG A= 0x3267, D= 0x0 
READ_REG A= 0x3268, D= 0x8 
READ_REG A= 0x3269, D= 0x70 
READ_REG A= 0x326A, D= 0x1 
READ_REG A= 0x326B, D= 0x0 
READ_REG A= 0x326C, D= 0xFF 
READ_REG A= 0x326D, D= 0x30 
READ_REG A= 0x326E, D= 0x10 
READ_REG A= 0x326F, D= 0x0 
READ_REG A= 0x3270, D= 0xFF 
READ_REG A= 0x3271, D= 0xF3 
READ_REG A= 0x3272, D= 0x3F 
READ_REG A= 0x3273, D= 0x0 
READ_REG A= 0x3274, D= 0x9F 
READ_REG A= 0x3275, D= 0x31 
READ_REG A= 0x3276, D= 0x1A 
READ_REG A= 0x3277, D= 0x0 
READ_REG A= 0x3278, D= 0x18 
READ_REG A= 0x3279, D= 0xC0 
READ_REG A= 0x327A, D= 0x1 
READ_REG A= 0x327B, D= 0x0 
READ_REG A= 0x327C, D= 0x5 
READ_REG A= 0x327D, D= 0x0 
READ_REG A= 0x327E, D= 0x0 
READ_REG A= 0x327F, D= 0x0 
READ_REG A= 0x3280, D= 0xFE 
READ_REG A= 0x3281, D= 0x90 
READ_REG A= 0x3282, D= 0xD 
READ_REG A= 0x3283, D= 0x0 
READ_REG A= 0x3284, D= 0x4 
READ_REG A= 0x3285, D= 0x10 
READ_REG A= 0x3286, D= 0x0 
READ_REG A= 0x3287, D= 0x0 
READ_REG A= 0x3288, D= 0xFD 
READ_REG A= 0x3289, D= 0xA0 
READ_REG A= 0x328A, D= 0xD 
